tx_nb_corto_lugar,tx_lat,tx_long,tx_nb_lugar, esAlias,esHoja,Padre,Siguiente,Anterior,Km_rang,Km_aprox,Nivel
a_venezuela,,,Venezuela,1,0,NULL,NULL,NULL,NULL,NULL,0
a_pnm,,,Carretera Panamericana – Altos Mirandinos,1,0,a_venezuela,NULL,NULL,NULL,NULL,1
a_km 0,10.45327,-66.92105,Kilómetro 0,1,0,a_pnm,a_km 1,NULL,Km 0-5,a_km 0,2
km 0,,,,0,1,a_km 0,,,,,3
gaviota,,,,0,1,a_km 0,,,,,3
km. 0,,,,0,1,a_km 0,,,,,3
km0,,,,0,1,a_km 0,,,,,3
kilometro 0,,,,0,1,a_km 0,,,,,3
a_distribuidor de gas,10.456352,-66.924873,Distribuidor de Gas,1,0,a_pnm,a_km 1,a_km 0,Km 0-5,a_km 0,2
distribuidor de gas,,,,0,1,a_distribuidor de gas,,,,,3
dist de gas,,,,0,1,a_distribuidor de gas,,,,,3
a_km 1,10.45609,-66.92378,Kilómetro 1,1,0,a_pnm,a_km 2,a_km 0,Km 0-5,a_km 1,2
km 1,,,,0,1,a_km 1,,,,,3
km. 1,,,,0,1,a_km 1,,,,,3
kilometro 1,,,,0,1,a_km 1,,,,,3
km1,,,,0,1,a_km 1,,,,,3
a_km 2,10.45472,-66.92697,Kilómetro 2,1,0,a_pnm,a_km 3,a_km 1,Km 0-5,a_km 2,2
km 2,,,,0,1,a_km 2,,,,,3
km2,,,,0,1,a_km 2,,,,,3
kilometro 2,,,,0,1,a_km 2,,,,,3
km. 2,,,,0,1,a_km 2,,,,,3
a_km 3,10.442687,-66.935184,Kilómetro 3,1,0,a_pnm,a_km 4,a_km 3,Km 0-5,a_km 3,2
km 3,,,,0,1,a_km 3,,,,,3
km. 3,,,,0,1,a_km 3,,,,,3
kilometro 3,,,,0,1,a_km 3,,,,,3
km3,,,,0,1,a_km 3,,,,,3
a_hipodromo,10.44225,-66.94145,Sector Hipódromo,1,0,a_pnm,a_km 4,a_km 2,Km 0-5,a_km 3,2
hipodromo,,,,0,1,a_hipodromo,,,,,3
a_km 4,10.442655,-66.943625,Kilómetro 4,1,0,a_pnm,a_km 5,a_km 3,Km 0-5,a_km 4,2
km 4,,,,0,1,a_km 4,,,,,3
km. 4,,,,0,1,a_km 4,,,,,3
kilometro 4,,,,0,1,a_km 4,,,,,3
km4,,,,0,1,a_km 4,,,,,3
a_km 5,10.43664,-66.94579,Kilómetro 5,1,0,a_pnm,a_km 6,a_km 4,Km 0-5,a_km 5,2
km 5,,,,0,1,a_km 5,,,,,3
km5,,,,0,1,a_km 5,,,,,3
kilometro 5,,,,0,1,a_km 5,,,,,3
km. 5,,,,0,1,a_km 5,,,,,3
a_la vega,10.43692,-66.94576,Entrada Sector La Vega,1,0,a_pnm,a_km 6,a_km 4,Km 0-5,a_km 5,2
la vega,,,,0,1,a_la vega,,,,,3
lavega,,,,0,1,a_la vega,,,,,3
a_km 6,10.433151,-66.948177,Kilómetro 6,1,0,a_pnm,a_km 7,a_km 5,Km 6-10,a_km 6,2
km 6,,,,0,1,a_km 6,,,,,3
km. 6,,,,0,1,a_km 6,,,,,3
kilometro 6,,,,0,1,a_km 6,,,,,3
km6,,,,0,1,a_km 6,,,,,3
a_km 7,10.42525,-66.94724,Kilómetro 7,1,0,a_pnm,a_km 8,a_km 6,Km 6-10,a_km 7,2
km 7,,,,0,1,a_km 7,,,,,3
km. 7,,,,0,1,a_km 7,,,,,3
kilometro 7,,,,0,1,a_km 7,,,,,3
km7,,,,0,1,a_km 7,,,,,3
a_km 8,10.42009,-66.95434,Kilómetro 8,1,0,a_pnm,a_km 9,a_km 7,Km 6-10,a_km 8,2
km 8,,,,0,1,a_km 8,,,,,3
km. 8,,,,0,1,a_km 8,,,,,3
kilometro 8,,,,0,1,a_km 8,,,,,3
km8,,,,0,1,a_km 8,,,,,3
a_iut,10.42038,-66.95423,IUT,1,0,a_pnm,a_km 9,a_km 7,Km 6-10,a_km 8,2
iut,,,,0,1,a_iut,,,,,3
iutrc,,,,0,1,a_iut,,,,,3
a_km 9,10.41122,-66.95799,Kilómetro 9,1,0,a_pnm,a_km 10,a_km 8,Km 6-10,a_km 9,2
km 9,,,,0,1,a_km 9,,,,,3
km. 9,,,,0,1,a_km 9,,,,,3
kilometro 9,,,,0,1,a_km 9,,,,,3
km9,,,,0,1,a_km 9,,,,,3
